                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                   "aarch64-macos-24.7.1"                                 "CRMATH"                               "20250323"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                             fe_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                tri_alpha                        v_div_csound_surf                              num_retries                             model_number                                      age                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                      fixed_xfer_fraction                        eff_xfer_fraction                                    J_orb                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot                              donor_index                         point_mass_index 
                                       1                  3.1622776601683819E+002                  1.0000000000000000E+001                 -9.8999999999999986E+001                  2.5000000000000000E+000                                     2477                  3.0499206809608070E+000                  3.0493698130404079E-001                  7.8130182656899194E-008                  9.9999998349014074E-001                  9.9999995501150540E-001                  3.0493698130404079E-001                  7.8130182656899194E-008                  9.9999998349014074E-001                  9.9999995501150540E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9262858686818821E+033                  6.0012120256218228E+033                  6.6661800202219227E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.3323445169416029E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7530244793215704E+000                 -3.0603322679297467E+001                 -9.8999999999999986E+001                  3.7530244793215704E+000                  4.4031350155515900E+000                  5.6480809236459236E+003                  3.7519009105014507E+000                  5.9233358501204258E-001                  4.2534004572790476E+000                  1.7922577098060938E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5008807135580282E+000                  9.6363255581593854E-001                  1.6620283376960479E+001                  6.1830585105339841E-001                  8.4849314226718964E-001                  6.9698619952396346E-001                  2.8249321633306557E-001                  5.7042795440453502E-005                  9.0233731200270052E-003                  3.4468833607860789E-003                  9.3805276451495393E-003                  6.9895666605901550E+000                  2.8082614751551520E+000                  1.5742050644748913E+000                  3.7501377406760055E+000                 -3.0603322679297467E+001                  0.0000000000000000E+000                                        0                  1.0000000000000000E+000                  3.1622776601683819E+002                  2.1999999773989107E+000                  1.8961535771499062E+001                  2.0533697749805265E+002                  2.3071570505399174E+002                  7.3769703557505109E+000                  6.9944709187306477E+000                 -4.6978068200668699E-001                 -4.7618675404830935E-001                  1.0000000000000000E+001                  8.9000000000000004E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.3860277722232571E+053                 -1.8482031157554980E+035                  0.0000000000000000E+000                 -1.8482031157554980E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                  8.2088560530190152E+003                  1.0000000000000000E+001                 -9.8999999999999986E+001                  3.2126312144286233E+000                                      975                  3.0586611542891347E+000                  3.0574364861602144E-001                  7.8130183545077614E-008                  9.9999998349014074E-001                  9.9999995510481676E-001                  3.0574364861602144E-001                  7.8130183545077614E-008                  9.9999998349014074E-001                  9.9999995510481676E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9535751975730701E+033                  6.0270711289236079E+033                  6.6777094856162167E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.3481629577374735E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7525975124620796E+000                 -3.0602250263191987E+001                 -9.8999999999999986E+001                  3.7525975124620796E+000                  4.4031323944186562E+000                  5.6505877877538824E+003                  3.7520936265274960E+000                  5.9243518529093364E-001                  4.2531972567212657E+000                  1.7914193326323177E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5009417821048503E+000                  9.6384480214629165E-001                  1.6620509340031429E+001                  6.1837498400042901E-001                  8.4842056743849570E-001                  6.9684105352177517E-001                  2.8264086202719807E-001                  5.6765231430214378E-005                  9.0030932239131313E-003                  3.4468833607860815E-003                  9.3805276451495393E-003                  6.9891107488052544E+000                  2.8087155339419825E+000                  1.5616709963915720E+000                  3.7497903949211593E+000                 -3.0602250263191987E+001                  0.0000000000000000E+000                                        0                  1.0000000000000000E+001                  8.2088560530190152E+003                  2.1999994133058687E+000                  1.8961532530265437E+001                  2.0533699504792861E+002                  2.3071572477295348E+002                  7.3769690947511570E+000                  6.9944697231147153E+000                 -4.6965653559035941E-001                 -4.7544366854876918E-001                  1.0000000000000000E+001                  8.9000000000000004E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.3860273118867301E+053                 -1.8482040372090164E+035                  0.0000000000000000E+000                 -1.8482040372090164E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      20                  5.9035929062735522E+004                  1.0000000000000000E+001                 -9.8999999999999986E+001                  4.0044436749048709E+000                                      972                  3.0762210935138703E+000                  3.0654965332653061E-001                  7.8130183545077614E-008                  9.9999998349014074E-001                  9.9999995487382265E-001                  3.0654965332653061E-001                  7.8130183545077614E-008                  9.9999998349014074E-001                  9.9999995487382265E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9583530028574086E+033                  6.0295351132558112E+033                  6.7074017154011918E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.2870853854215855E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7535302433778566E+000                 -3.0616284328857059E+001                 -1.2041199826559247E+001                  3.7535302433778566E+000                  4.4028489523563161E+000                  5.6543018029195464E+003                  3.7523789855904477E+000                  5.9314474894708780E-001                  4.2517781294089572E+000                  1.7855751344684584E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5006581440899316E+000                  9.6258563368842531E-001                  1.6618697188496842E+001                  6.1882077330349727E-001                  8.4795296476432680E-001                  6.9590584830713598E-001                  2.8359223444819509E-001                  5.7894764689469506E-005                  8.8752648261560489E-003                  3.4468833607860815E-003                  9.3805276451495393E-003                  6.9861686681906017E+000                  2.8116523469361989E+000                  1.5487630215344828E+000                  3.7508114526782346E+000                 -3.0616284328857059E+001                  0.0000000000000000E+000                                        0                  2.0000000000000000E+001                  5.9035929062735522E+004                  2.1999957806454953E+000                  1.8961511657282053E+001                  2.0533710806619905E+002                  2.3071585175977424E+002                  7.3769609741336337E+000                  6.9944620235550881E+000                 -4.6878875116140289E-001                 -4.7560910620099844E-001                  1.0000000000000000E+001                  8.9000000000000004E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.3860243473982486E+053                 -1.8482099712226279E+035                  0.0000000000000000E+000                 -1.8482099712226279E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      30                  3.7374376826098119E+005                  1.0000000000000000E+001                 -9.8999999999999986E+001                  4.7962561353811193E+000                                      967                  3.1108625657995219E+000                  3.1017395349121957E-001                  7.8130183545077614E-008                  9.9999998267375878E-001                  9.9999995335776992E-001                  3.1017395349121957E-001                  7.8130183545077614E-008                  9.9999998267375878E-001                  9.9999995335776992E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9651724625703324E+033                  6.0219587015535857E+033                  7.1424471884867834E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  8.8746489525264330E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7555154085718403E+000                 -3.0700950058239233E+001                 -9.8999999999999986E+001                  3.7555154085718403E+000                  4.4011393830674734E+000                  5.6824405497951457E+003                  3.7545349007927888E+000                  5.9764184512594420E-001                  4.2427839370512439E+000                  1.7489763505948929E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4989381385635445E+000                  9.5541251418015172E-001                  1.6608122221590396E+001                  6.2156375234057493E-001                  8.4509169602292489E-001                  6.9018330998621813E-001                  2.8940204799394859E-001                  6.3923814893884851E-005                  8.1850816463409724E-003                  3.4468833607860815E-003                  9.3805276451495393E-003                  6.9679382799316425E+000                  2.8299554930342543E+000                  1.5119652832208472E+000                  3.7530295493931773E+000                 -3.0700950058239233E+001                  0.0000000000000000E+000                                        0                  3.0000000000000000E+001                  3.7374376826098119E+005                  2.1999732879756864E+000                  1.8961382415898566E+001                  2.0533780785712477E+002                  2.3071663804171320E+002                  7.3769106928765575E+000                  6.9944143494052096E+000                 -4.6325585049574253E-001                 -4.7113149018031880E-001                  1.0000000000000000E+001                  8.9000000000000004E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.3860059918357579E+053                 -1.8482467139412604E+035                  0.0000000000000000E+000                 -1.8482467139412604E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      40                  2.2386251233268152E+006                  1.0000000000000000E+001                 -9.8999999999999986E+001                  5.4994276294536117E+000                                      966                  3.0406335291716000E+000                  3.0089839815817609E-001                  7.8130183545077614E-008                  3.1178184687211341E-001                  3.0967160738011978E-001                  3.0089839815817609E-001                  7.8130183545077614E-008                  3.1178184687211341E-001                  3.0967160738011978E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9683526618193422E+033                  5.9434796358870678E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7729613356554164E+000                 -3.0823159026709114E+001                 -1.1740169830895265E+001                  3.7729613356554164E+000                  4.3948733931768702E+000                  5.9209928086667760E+003                  3.7723945336105875E+000                  6.1910364131604989E-001                  4.1998603446710332E+000                  1.5843836230204675E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4949541803047408E+000                  9.3338878917189261E-001                  1.6571396581794318E+001                  6.3913542722656902E-001                  8.2736615949168668E-001                  6.5473224623706627E-001                  3.2518129650915373E-001                  8.6698990425626945E-005                  5.5901939384160673E-003                  3.4468833607860815E-003                  9.3805276451495393E-003                  6.8578514167218296E+000                  2.9407459504963529E+000                  1.4212702401696737E+000                  3.7710246407799759E+000                 -3.0823159026709114E+001                  0.0000000000000000E+000                                        0                  4.0000000000000000E+001                  2.2386251233268152E+006                  2.1998399950116858E+000                  1.8960616514360783E+001                  2.0534195505757381E+002                  2.3072129781749871E+002                  7.3766127194946653E+000                  6.9941318260855176E+000                 -4.3604213438852057E-001                 -4.4890424292968462E-001                  1.0000000000000000E+001                  8.9000000000000004E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.3858972130600730E+053                 -1.8484725389794655E+035                  0.0000000000000000E+000                 -1.8484725389794655E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      50                  5.3421977029017806E+006                  1.0000000000000000E+001                 -9.8999999999999986E+001                  5.4593998982920313E+000                                      965                  2.8252220974616535E+000                  2.8140911511063127E-001                  7.8130183545077614E-008                  3.0780903568670115E-001                  3.0526574641346838E-001                  2.8140911511063127E-001                  7.8130183545077614E-008                  3.0780903568670115E-001                  3.0526574641346838E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9687781306003301E+033                  5.7062761109666363E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8073393423599642E+000                 -3.0560153954375515E+001                 -1.1564078571839584E+001                  3.8073393423599642E+000                  4.3878068518726234E+000                  6.4106568850206231E+003                  3.8069025329389632E+000                  6.5049072358873194E-001                  4.1370861801256691E+000                  1.3711538269220970E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4961428467269826E+000                  9.2003505372700345E-001                  1.6538467531092355E+001                  6.7463648084482686E-001                  7.9440328747209110E-001                  5.8880652677038348E-001                  3.9140028067383564E-001                  1.0819671159278579E-004                  3.2733297228534834E-003                  3.4468833607860802E-003                  9.3805276451495393E-003                  6.6638116022196021E+000                  3.1355079234848389E+000                  1.3134607338038791E+000                  3.8059442496723630E+000                 -3.0560153954375515E+001                  0.0000000000000000E+000                                        0                  5.0000000000000000E+001                  5.3421977029017797E+006                  2.1996181370873926E+000                  1.8959341684148129E+001                  2.0534885856013923E+002                  2.3072905456195423E+002                  7.3761167478180747E+000                  6.9936615707772880E+000                 -3.9373437928172456E-001                 -4.1566286863466190E-001                  1.0000000000000000E+001                  8.9000000000000004E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.3857161477476662E+053                 -1.8489114832809932E+035                  0.0000000000000000E+000                 -1.8489114832809932E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      60                  7.8342050757131493E+006                  1.0000000000000000E+001                 -9.8999999999999986E+001                  5.3386285487464198E+000                                      955                  2.6336764507444204E+000                  2.6177083016720870E-001                  7.8130183545077614E-008                  9.9999997060944701E-001                  9.9999991009332123E-001                  2.6177083016720870E-001                  7.8130183545077614E-008                  9.9999997060944701E-001                  9.9999991009332123E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9561831430082655E+033                  5.4896707671445714E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8381515600973475E+000                 -3.0178739124905324E+001                 -1.1564078571839584E+001                  3.8381515600973479E+000                  4.3818719000147297E+000                  6.8821651197048914E+003                  3.8377250881797709E+000                  6.7777190492492190E-001                  4.0825238174532892E+000                  1.2092714996451290E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5000102965171616E+000                  9.1759239690683303E-001                  1.6519551758531488E+001                  7.1140810500706142E-001                  7.6374219880270322E-001                  5.2748436701538837E-001                  4.5286602275967219E-001                  1.2005199268164316E-004                  2.1409001283056390E-003                  3.4468833607860802E-003                  9.3805276451495393E-003                  6.4961734314548236E+000                  3.3034855339734195E+000                  1.2218184278414532E+000                  3.8370996538704074E+000                 -3.0178739124905324E+001                  0.0000000000000000E+000                                        0                  6.0000000000000000E+001                  7.8342050757131502E+006                  2.1994399693086426E+000                  1.8958317873290227E+001                  2.0535440323857918E+002                  2.3073528453772940E+002                  7.3757184350210698E+000                  6.9932839106890876E+000                 -3.5439397371084569E-001                 -3.8693071343233981E-001                  1.0000000000000000E+001                  8.9000000000000004E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.3855707305385053E+053                 -1.8492707708269251E+035                  0.0000000000000000E+000                 -1.8492707708269251E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      70                  9.6992338520471696E+006                  1.0000000000000000E+001                 -9.8999999999999986E+001                  5.2132054655982580E+000                                      951                  2.4720788511344889E+000                  2.4532000762446349E-001                  7.8130183545077614E-008                  9.9999996589257312E-001                  9.9999989072020112E-001                  2.4532000762446349E-001                  7.8130183545077614E-008                  9.9999996589257312E-001                  9.9999989072020112E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9329145722325722E+033                  5.3781462471768087E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8631904653457751E+000                 -2.9813866656897172E+001                 -1.1263048576175603E+001                  3.8631904653457756E+000                  4.3765289376945375E+000                  7.2903694227840360E+003                  3.8627495357544088E+000                  7.0097005335262630E-001                  4.0361275205978799E+000                  1.0867446743824490E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5042616436553669E+000                  9.1965885846358353E-001                  1.6507719733932078E+001                  7.4597881452015846E-001                  7.3767765623136916E-001                  4.7535529234188079E-001                  5.0507139241850763E-001                  1.2736007813639885E-004                  1.5405356194749451E-003                  3.4468833607860802E-003                  9.3805276451495393E-003                  6.3625528095851651E+000                  3.4372761080280738E+000                  1.1421810349177306E+000                  3.8623640697134731E+000                 -2.9813866656897172E+001                  0.0000000000000000E+000                                        0                  7.0000000000000000E+001                  9.6992338520471733E+006                  2.1993066117372249E+000                  1.8957551538582422E+001                  2.0535855379082591E+002                  2.3073994807957970E+002                  7.3754202931147299E+000                  6.9930012275830178E+000                 -3.1894328476295514E-001                 -3.6273271933695783E-001                  1.0000000000000000E+001                  8.9000000000000004E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.3854618814436760E+053                 -1.8495400951612365E+035                  0.0000000000000000E+000                 -1.8495400951612365E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      80                  1.1105727779859599E+007                  1.0000000000000000E+001                 -9.8999999999999986E+001                  5.0936205034656421E+000                                      944                  2.3435347450587258E+000                  2.3212173714186268E-001                  7.8130183323033009E-008                  9.9999996190137241E-001                  9.9999987076141683E-001                  2.3212173714186268E-001                  7.8130183323033009E-008                  9.9999996190137241E-001                  9.9999987076141683E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9038775544104312E+033                  5.2641397148054914E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8833260596120027E+000                 -2.9487950771496234E+001                 -9.8999999999999986E+001                  3.8833260596120027E+000                  4.3716535461782247E+000                  7.6359775565171385E+003                  3.8828646432555360E+000                  7.2077839013581424E-001                  3.9965108470315047E+000                  9.9199811528594309E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5083226116594020E+000                  9.2381968262409830E-001                  1.6500019658981152E+001                  7.7772958466077502E-001                  7.1578252142303833E-001                  4.3156502900849614E-001                  5.4890626597684555E-001                  1.3237627104440306E-004                  1.1904928757057362E-003                  3.4468833607860802E-003                  9.3805276451495393E-003                  6.2564978344338673E+000                  3.5434246532415106E+000                  1.0725289147211308E+000                  3.8826541310730396E+000                 -2.9487950771496234E+001                  0.0000000000000000E+000                                        0                  8.0000000000000000E+001                  1.1105727779859604E+007                  2.1992060322863245E+000                  1.8956973551972897E+001                  2.0536168439575079E+002                  2.3074346561320311E+002                  7.3751954278856759E+000                  6.9927880217235101E+000                 -2.8713899686862154E-001                 -3.4229713230379732E-001                  1.0000000000000000E+001                  8.9000000000000004E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.3853797835901325E+053                 -1.8497429888520400E+035                  0.0000000000000000E+000                 -1.8497429888520400E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
