                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                   "aarch64-macos-24.7.1"                                 "CRMATH"                               "20250216"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                        eps_grav_integral                                       pp                                      cno                                tri_alpha                     eps_nuc_rate_r34_pp2                     eps_nuc_rate_r34_pp3                eps_nuc_rate_r_c12_ag_o16             eps_nuc_rate_r_h1_he3_wk_he4      eps_nuc_rate_r_he3_he3_to_h1_h1_he4        eps_nuc_rate_r_he4_he4_he4_to_c12              eps_nuc_rate_r_ne20_ag_mg24               eps_nuc_rate_r_o16_ag_ne20              eps_nuc_rate_rbe7ec_li7_aux               eps_nuc_rate_rbe7pg_b8_aux                 eps_nuc_rate_rc12_to_n14                  eps_nuc_rate_rc12ap_aux               eps_nuc_rate_rc12ap_to_o16                  eps_nuc_rate_rf19pa_aux                  eps_nuc_rate_rf19pg_aux                 eps_nuc_rate_rn14_to_c12                 eps_nuc_rate_rn14_to_o16                 eps_nuc_rate_rn14ag_lite                  eps_nuc_rate_rn14pg_aux                  eps_nuc_rate_rn15pa_aux                  eps_nuc_rate_rn15pg_aux                 eps_nuc_rate_rna23pa_aux                 eps_nuc_rate_rna23pg_aux                 eps_nuc_rate_rne20ap_aux             eps_nuc_rate_rne20ap_to_mg24                 eps_nuc_rate_ro16_to_n14                  eps_nuc_rate_ro16ap_aux              eps_nuc_rate_ro16ap_to_ne20                  eps_nuc_rate_ro16gp_aux                 eps_nuc_rate_rpep_to_he3                  eps_nuc_rate_rpp_to_he3                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                             log_center_P                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                          center_eps_grav                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      628                  1.0000000000000001E-005                 -4.9999999999999991E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998576399984E-001                  2.1837252236666703E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998576399984E-001                  2.1837252236666703E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.2214638160984563E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.2214638160984563E+000                  0.0000000000000000E+000                 -8.2214638160984563E+000                 -2.4275297990829451E+001                 -9.8999999999999986E+001                  2.5283854262945862E+009                  4.6480008670585072E-005                  0.0000000000000000E+000                  7.6581913660455250E+013                  8.7416664046806488E+010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0308182293949549E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3728041198266037E+003                  8.1174161841432287E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0877521089304287E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6204261416738677E+019                  2.2988340327379315E+025                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6910981663964981E+000                  1.7450319022417926E+000                  1.0129727791923977E+000                  2.8892433236380000E+000                  0.0000000000000000E+000                  6.3541078018670731E+000                 -1.6050879109887120E+000                  1.2878345064873288E+001                  1.2878345064873288E+001                 -1.6050879109887120E+000                  6.3541078018670731E+000                  6.2129710886070000E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495410E-003                  3.4468833607861557E-003                  9.3805276451495445E-003                  2.1000000000000001E+000                  8.3991060709424736E-001                                        0                                        2 
                                      10                                      630                  2.5958682111999997E-004                 -4.2873687855713758E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998576399984E-001                  1.9064018735439169E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998576399984E-001                  1.9064018735439169E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.2214638104025397E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.2214638104025397E+000                  0.0000000000000000E+000                 -8.2214638104025397E+000                 -2.4275297971932527E+001                 -9.8999999999999986E+001                  2.5283855298358583E+009                  4.6480011120892031E-005                  0.0000000000000000E+000                  7.6581915290432891E+013                  8.7416667485671524E+010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0308183177594044E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3728043776756977E+003                  8.1174165737104522E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0877521656122793E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6204261837292552E+019                  2.2988340628879014E+025                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6911120493351368E+000                  1.7450874180560938E+000                  1.0129727712222698E+000                  2.8892433395782557E+000                  0.0000000000000000E+000                  6.3541078023667952E+000                 -1.6050879094717498E+000                  1.2878345066890043E+001                  1.2878345066890043E+001                 -1.6050879094717498E+000                  6.3541078023667952E+000                  6.2129710886038614E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495410E-003                  3.4468833607861557E-003                  9.3805276451495445E-003                  2.1000000000000001E+000                  8.3991060709424736E-001                                        0                                        2 
                                      20                                      630                  1.8668799962237366E-003                 -3.4955563250951283E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998576399984E-001                  1.9058638972069065E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998576399984E-001                  1.9058638972069065E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.2214637736381952E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.2214637736381952E+000                  0.0000000000000000E+000                 -8.2214637736381952E+000                 -2.4275297849914839E+001                 -9.8999999999999986E+001                  2.5283861983880577E+009                  4.6480026922467824E-005                  0.0000000000000000E+000                  7.6581925812742141E+013                  8.7416689689622574E+010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0308188883299069E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3728060426782495E+003                  8.1174190892532406E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0877525316356900E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6204264551315558E+019                  2.2988342574911370E+025                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6911107002212185E+000                  1.7450819741169217E+000                  1.0129727474805215E+000                  2.8892433870617524E+000                  0.0000000000000000E+000                  6.3541078055935190E+000                 -1.6050878996895828E+000                  1.2878345079899502E+001                  1.2878345079899502E+001                 -1.6050878996895828E+000                  6.3541078055935190E+000                  6.2129710885835809E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495410E-003                  3.4468833607861557E-003                  9.3805276451495445E-003                  2.1000000000000001E+000                  8.3991060709424736E-001                                        0                                        2 
                                      30                                      630                  1.1818815689988481E-002                 -2.7037438646188803E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998576399984E-001                  1.9824009835403070E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998576399984E-001                  1.9824009835403070E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.2214635459035783E+000                 -9.8999999999999986E+001                 -2.4082399653118493E+001                 -8.2214635459035783E+000                  0.0000000000000000E+000                 -8.2214635459035783E+000                 -2.4275297093627639E+001                 -9.8999999999999986E+001                  2.5283903419082708E+009                  4.6480124798164060E-005                  0.0000000000000000E+000                  7.6581990998954328E+013                  8.7416827298160461E+010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0308224248303242E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3728163639704462E+003                  8.1174346830144259E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0877548008667060E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6204281362611368E+019                  2.2988354629500225E+025                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6911105415764265E+000                  1.7450812846295303E+000                  1.0129727200264085E+000                  2.8892434419699784E+000                  0.0000000000000000E+000                  6.3541078255803978E+000                 -1.6050878391091512E+000                  1.2878345160470406E+001                  1.2878345160470406E+001                 -1.6050878391091512E+000                  6.3541078255803978E+000                  6.2129710884579437E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495410E-003                  3.4468833607861557E-003                  9.3805276451495445E-003                  2.1000000000000001E+000                  8.3991060709424736E-001                                        0                                        2 
                                      40                                      630                  7.3438578398454232E-002                 -1.9119314041426323E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998576399984E-001                  2.1563072228146804E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998576399984E-001                  2.1563072228146804E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.2214621356597508E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.2214621356597508E+000                  0.0000000000000000E+000                 -8.2214621356597508E+000                 -2.4275292406160030E+001                 -9.8999999999999986E+001                  2.5284160212512379E+009                  4.6480730896363793E-005                  0.0000000000000000E+000                  7.6582394726623484E+013                  8.7417680072677429E+010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0308443441951108E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3728803459688133E+003                  8.1175313492053847E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0877688698954315E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6204385465027174E+019                  2.2988429277535029E+025                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6911105450090314E+000                  1.7450810421492804E+000                  1.0129725919210746E+000                  2.8892436981806462E+000                  0.0000000000000000E+000                  6.3541079493262247E+000                 -1.6050874640235271E+000                  1.2878345659324049E+001                  1.2878345659324049E+001                 -1.6050874640235271E+000                  6.3541079493262247E+000                  6.2129710876800948E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495410E-003                  3.4468833607861557E-003                  9.3805276451495445E-003                  2.1000000000000001E+000                  8.3991060709424736E-001                                        0                                        2 
                                      50                                      630                  4.5497190750010669E-001                 -1.1201189436663841E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998576399984E-001                  2.1835956349597792E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998576399984E-001                  2.1835956349597792E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.2214534032469064E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.2214534032469064E+000                  0.0000000000000000E+000                 -8.2214534032469064E+000                 -2.4275263372034370E+001                 -9.8999999999999986E+001                  2.5285750814055729E+009                  4.6484483677547183E-005                  0.0000000000000000E+000                  7.6584894911985031E+013                  8.7422962153511047E+010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0309801177839248E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3732766798672810E+003                  8.1181301440115967E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0878560225705760E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6205030081858470E+019                  2.2988891513254250E+025                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6911106141773820E+000                  1.7450797503986133E+000                  1.0129718077090397E+000                  2.8892452666047159E+000                  0.0000000000000000E+000                  6.3541087155069622E+000                 -1.6050851416271994E+000                  1.2878348748038235E+001                  1.2878348748038235E+001                 -1.6050851416271994E+000                  6.3541087155069622E+000                  6.2129710828640305E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495410E-003                  3.4468833607861557E-003                  9.3805276451495445E-003                  2.1000000000000001E+000                  8.3991060709424736E-001                                        0                                        2 
                                      60                                      630                  2.8173257176583335E+000                 -3.2830648319013606E-001                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998576399984E-001                  2.1819104947315882E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998576399984E-001                  2.1819104947315882E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.2213993349723040E+000                 -9.8999999999999986E+001                 -2.4082399653118493E+001                 -8.2213993349723040E+000                  0.0000000000000000E+000                 -8.2213993349723040E+000                 -2.4275083599025077E+001                 -9.8999999999999986E+001                  2.5295601693025360E+009                  4.6507725517428206E-005                  0.0000000000000000E+000                  7.6600377157915594E+013                  8.7455674709339996E+010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0318210005278463E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3757313478732758E+003                  8.1218387403709930E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0883958098824400E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6209021721991311E+019                  2.2991753734190544E+025                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6911110445842024E+000                  1.7450717656056738E+000                  1.0129669544989299E+000                  2.8892549730249355E+000                  0.0000000000000000E+000                  6.3541134596004607E+000                 -1.6050707618909268E+000                  1.2878367872719476E+001                  1.2878367872719476E+001                 -1.6050707618909268E+000                  6.3541134596004607E+000                  6.2129710530433357E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495410E-003                  3.4468833607861557E-003                  9.3805276451495445E-003                  2.1000000000000001E+000                  8.3991060709424736E-001                                        0                                        2 
                                      70                                      630                  1.7444397846610435E+001                  4.6350597728611193E-001                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998576399984E-001                  2.1879717520706336E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998576399984E-001                  2.1879717520706336E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.2210645997307843E+000                 -9.8999999999999986E+001                 -2.4082399653118493E+001                 -8.2210645997307843E+000                  0.0000000000000000E+000                 -8.2210645997307843E+000                 -2.4273970637222817E+001                 -9.8999999999999986E+001                  2.5356673282759337E+009                  4.6651874183332850E-005                  0.0000000000000000E+000                  7.6696296745397797E+013                  8.7658468566882690E+010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0370346003581815E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3909529912954749E+003                  8.1448361197484892E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0917435570909768E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6233747475860787E+019                  2.3009481601545007E+025                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6911137091432042E+000                  1.7450223315090627E+000                  1.0129369083326192E+000                  2.8893150653575570E+000                  0.0000000000000000E+000                  6.3541428301469347E+000                 -1.6049817355303462E+000                  1.2878486274879798E+001                  1.2878486274879798E+001                 -1.6049817355303462E+000                  6.3541428301469347E+000                  6.2129708684294382E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495410E-003                  3.4468833607861557E-003                  9.3805276451495445E-003                  2.1000000000000001E+000                  8.3991060709424736E-001                                        0                                        2 
                                      80                                      631                  1.0801137310051504E+002                  1.2553184377623601E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998576399984E-001                  2.2207739186750437E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998576399984E-001                  2.2207739186750437E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.2189931730994790E+000                 -9.8999999999999986E+001                 -2.3781369657454512E+001                 -8.2189931730994790E+000                  0.0000000000000000E+000                 -8.2189931730994790E+000                 -2.4267083472156632E+001                 -9.8999999999999986E+001                  2.5737886195284295E+009                  4.7553880411786054E-005                  0.0000000000000000E+000                  7.7292543736339875E+013                  8.8923887729572159E+010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0695959515831077E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4861098177111753E+003                  8.2886023069296170E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1126900641496726E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6387278242808590E+019                  2.3119490570010389E+025                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6911642032518923E+000                  1.7448522053721418E+000                  1.0127508570467822E+000                  2.8896871679292309E+000                  0.0000000000000000E+000                  6.3543245945935443E+000                 -1.6044307833038043E+000                  1.2879219024081578E+001                  1.2879219024081578E+001                 -1.6044307833038043E+000                  6.3543245945935443E+000                  6.2129697260238570E-001                  8.5000496627254207E-001                  1.2966429887659310E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861345E-003                  9.3805276451495410E-003                  3.4468833607861557E-003                  9.3805276451495445E-003                  2.1000000000000001E+000                  8.3991060709424736E-001                                        0                                        2 
